meta_url,name,num,lat,lon,junk
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BFK,BAKERSFIELD,494,35.434,119.054 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BFL,BIG FLAT,5100,41.08,122.942 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BFS,BARSTOW,2320,34.9,117.017 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BFT,BIG FLAT (COURSE),5100,41.077,122.938 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BGB,BIG BAR,1270,40.733,123.2 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BGC,BIG CREEK,1,4878,37.205,119.24 
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BGD,BOGARD RANGER STATION,5680,40.59,121.08 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BGH,BIGHORN PLATEAU,11350,36.615,118.377 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BGM,BIG MEADOW,6550,38.417,120.113 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BGP,BIG PINE CREEK,9800,37.128,118.475 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BGR,BANGOR,800,39.382,121.383 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BGS,BIG SUR STATE PARK,240,36.247,121.811 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BGV,BRIDGEVILLE,646,40.474,123.792 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BHC,BRUSH CREEK (SMUD),2923,38.805,120.62 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BHL,BEVERLY HILLS,1260,34.125,118.42 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BHM,BEACH MEADOWS,7650,36.122,118.293 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BHN,BIG CR BLW HUNTINGTON LAKE,6630,37.221,119.212 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BHV,BEEHIVE MEADOW,6500,37.995,119.78 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIC,BIG CHICO CREEK NEAR CHICO,274,39.768,121.777 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BID,MOUNT BIDWELL,7200,41.965,120.185 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIG,BIG MEADOW (KERN CO),7740,35.89,118.334 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIL,BUCK ISLAND LAKE,6400,39.001,120.25 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIM,BIG MEADOWS (DWR),7600,36.717,118.842 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIO,BRIONES DAM,588,37.9,122.2 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIP,BISHOP PARK,8400,37.238,118.597 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIS,BISHOP,4140,37.35,118.4 ,
